415,401,397,399,409,407,390,364,
415,399,397,399,409,390,390,366,
386,401,414,398,409,400,398,368,
384,399,397,404,401,400,398,368,
386,387,398,404,401,400,397,375,
396,387,393,404,415,390,397,562,
396,407,398,398,415,364,400,562,
396,407,400,398,388,378,400,9508,
389,411,402,398,388,378,416,11171,
403,402,402,398,374,378,397,11171,
414,402,385,396,374,379,402,9567,
414,402,385,398,374,403,397,9567,
401,395,400,391,405,403,402,9736,
391,406,400,398,409,395,410,9736,
394,406,408,402,407,395,410,9481,
394,406,408,407,409,395,410,8652,
404,398,398,412,407,393,395,8530,
404,398,398,412,386,393,395,8347,
404,398,398,412,386,378,396,8347,
383,399,398,420,386,398,397,8347,
404,414,405,393,393,386,398,11836,
381,414,402,418,386,386,397,11836,
391,402,407,407,377,383,384,2125,
386,402,402,407,377,380,384,2071,
391,405,400,407,409,380,400,2125,
386,405,383,414,409,383,400,2777,
391,395,400,414,395,397,403,2777,
391,395,405,412,395,383,403,2297,
391,395,406,397,383,376,403,2297,
393,398,414,412,391,376,400,1998,
414,398,414,400,391,383,400,1975,
414,397,393,400,409,383,400,1975,
406,397,393,400,409,403,394,2265,
398,388,393,401,396,386,394,2382,
398,407,402,402,396,403,405,2457,
386,397,402,401,395,403,407,2426,
384,397,400,407,405,408,413,2457,
386,397,398,401,395,408,413,2426,
391,393,398,414,405,376,412,2119,
393,405,398,414,407,376,404,1805,
403,387,398,414,407,396,404,1805,
421,397,402,393,409,408,398,1873,
421,397,393,393,405,408,398,2038,
389,397,393,421,409,398,427,2007,
389,390,393,431,410,389,427,2038,
389,390,390,421,411,371,388,2088,
392,428,390,391,411,371,388,2088,
392,428,390,386,407,389,387,2097,
392,392,394,382,407,389,411,2171,
378,386,394,386,398,391,421,2177,
378,392,389,397,404,373,421,2194,
388,392,389,397,391,396,413,2194,
388,393,402,401,403,379,402,2168,
384,393,402,401,391,402,402,2129,
384,393,407,401,403,388,392,2072,
374,386,406,393,417,388,392,1989,
372,386,406,393,417,388,392,2072,
372,393,398,395,411,407,400,1977,
382,393,391,395,407,407,407,1988,
386,388,384,405,398,378,418,1988,
382,388,384,405,396,378,418,1988,
386,388,377,428,398,366,395,2149,
392,388,382,433,405,366,395,2149,
403,378,382,428,412,366,395,2302,
403,378,382,420,412,384,405,2302,
404,388,391,404,391,410,409,1165,
411,388,387,389,379,410,405,1165,
411,383,387,389,379,388,402,1652,
389,383,387,396,400,388,402,1652,
375,386,393,396,400,398,402,1646,
384,400,393,416,393,398,402,1646,
384,400,393,382,383,379,398,1753,
386,400,400,415,383,379,386,2004,
386,383,400,382,412,393,398,2499,
379,383,400,415,412,393,381,2792,
379,383,394,403,400,388,381,3035,
382,385,394,403,400,386,380,3227,
389,386,382,382,398,388,379,3401,
389,390,382,382,399,386,380,3511,
389,393,394,375,398,394,411,3511,
394,400,396,375,396,376,418,3395,
394,400,394,375,396,369,418,3395,
396,395,391,387,396,369,393,3436,
396,385,391,389,399,374,380,3584,
382,383,392,395,393,377,393,3584,
374,383,392,395,394,377,402,3583,
374,383,393,406,394,377,402,3583,
374,386,393,392,402,372,384,3665,
374,386,393,382,402,372,375,3697,
389,402,393,382,394,365,375,3734,
377,402,393,387,394,365,398,4035,
377,385,386,387,394,371,398,4350,
377,381,386,386,405,371,398,5947,
377,384,390,386,391,368,389,6528,
386,384,396,399,396,368,400,6528,
386,398,396,399,396,369,389,660,
386,398,384,378,403,369,386,622,
374,393,384,370,403,367,373,622,
369,390,385,368,403,362,373,558,
374,390,399,368,405,367,396,542,
369,386,394,377,384,702,666,516,
384,386,394,382,384,7141,666,507,
