Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Time (s)
381,396,16041,379,376,402,396,11436,0.0
383,396,16036,16377,376,401,389,10452,0.12738853503184713
386,405,16046,16377,380,397,389,9438,0.25477707006369427
391,405,16050,16361,380,397,391,9020,0.3821656050955414
391,408,16050,16361,383,397,391,9020,0.5095541401273885
383,402,16050,16361,387,423,403,9673,0.6369426751592357
380,405,16046,16360,387,428,389,11337,0.7643312101910829
383,402,16050,16360,387,430,405,13241,0.89171974522293
376,395,16036,16366,401,431,405,13734,1.019108280254777
380,395,16035,16366,406,431,416,13784,1.1464968152866242
380,405,16035,16367,406,437,416,13734,1.2738853503184715
393,407,16042,16354,387,409,427,12810,1.4012738853503186
393,407,16045,16354,382,409,420,11094,1.5286624203821657
398,401,16059,16354,387,409,420,10357,1.6560509554140128
398,401,16059,23,397,425,420,10357,1.78343949044586
398,400,16056,23,397,426,415,10945,1.910828025477707
395,415,16050,23,394,425,418,12139,2.038216560509554
381,405,16056,21,389,426,415,12139,2.1656050955414012
381,405,16052,16,388,428,418,11545,2.2929936305732483
381,393,16059,9,373,430,433,10571,2.4203821656050954
386,393,16052,16,373,430,433,10317,2.547770700636943
386,400,16059,36,376,418,428,9729,2.67515923566879
379,408,16050,36,376,403,424,9729,2.802547770700637
379,400,16053,16349,376,403,424,14934,2.9299363057324843
379,398,16053,16349,376,424,404,14934,3.0573248407643314
393,398,16053,16361,390,424,420,14864,3.1847133757961785
395,398,16049,16379,390,430,399,14864,3.3121019108280256
395,398,16049,16361,387,432,410,14864,3.4394904458598727
380,396,16050,16353,387,432,404,1251,3.56687898089172
380,403,16054,16353,387,416,410,1251,3.694267515923567
390,400,16054,16354,394,408,410,1611,3.821656050955414
390,400,16049,16369,383,416,419,2160,3.949044585987261
390,395,16049,16354,394,435,419,2481,4.076433121019108
382,395,16049,32,383,435,417,2160,4.203821656050955
404,398,16048,9,402,401,414,1875,4.3312101910828025
382,398,16052,9,392,401,417,1093,4.45859872611465
385,398,16047,13,392,401,428,1093,4.585987261146497
378,398,16052,13,388,418,428,1181,4.713375796178344
371,400,16045,15,387,418,449,1558,4.840764331210191
371,402,16055,15,387,418,425,2017,4.968152866242038
380,400,16043,20,390,418,426,2017,5.095541401273886
380,400,16040,16365,390,415,426,2197,5.222929936305733
380,398,16040,16355,385,415,426,15374,5.35031847133758
383,398,16054,16355,385,415,406,15374,5.477707006369427
385,398,16054,20,395,403,406,2116,5.605095541401274
383,398,16054,20,395,403,427,2116,5.7324840764331215
385,398,16045,16358,394,393,427,2852,5.859872611464969
390,400,16054,16358,394,393,414,3522,5.987261146496816
390,405,16055,16357,396,412,414,3522,6.114649681528663
400,405,16055,16357,396,415,430,2521,6.24203821656051
405,405,16046,16364,396,415,432,2521,6.369426751592357
405,405,16046,16364,387,415,430,2831,6.496815286624204
376,405,16047,16370,387,415,430,3238,6.624203821656051
376,388,16052,16353,387,405,413,3507,6.751592356687898
386,388,16047,16360,389,393,418,3253,6.8789808917197455
386,384,16045,29,389,393,418,3417,7.006369426751593
381,401,16045,16360,389,393,418,3417,7.13375796178344
378,384,16051,29,383,406,431,3417,7.261146496815287
381,391,16051,16360,383,418,432,3462,7.388535031847134
381,389,16050,9,385,418,433,3186,7.515923566878981
381,389,16050,16358,387,415,446,3547,7.643312101910828
378,389,16055,30,402,415,446,3547,7.770700636942675
378,406,16059,30,392,415,411,3677,7.898089171974522
395,406,16059,30,392,418,411,3677,8.02547770700637
395,393,16059,16358,392,415,435,4153,8.152866242038217
380,393,16059,16358,389,415,435,4613,8.280254777070065
374,393,16059,16383,389,405,435,5079,8.40764331210191
