Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Time (s)
415,401,397,399,409,407,390,364,0.0
415,399,397,399,409,390,390,366,0.12738853503184713
386,401,414,398,409,400,398,368,0.25477707006369427
384,399,397,404,401,400,398,368,0.3821656050955414
386,387,398,404,401,400,397,375,0.5095541401273885
396,387,393,404,415,390,397,562,0.6369426751592357
396,407,398,398,415,364,400,562,0.7643312101910829
396,407,400,398,388,378,400,9508,0.89171974522293
389,411,402,398,388,378,416,11171,1.019108280254777
403,402,402,398,374,378,397,11171,1.1464968152866242
414,402,385,396,374,379,402,9567,1.2738853503184715
414,402,385,398,374,403,397,9567,1.4012738853503186
401,395,400,391,405,403,402,9736,1.5286624203821657
391,406,400,398,409,395,410,9736,1.6560509554140128
394,406,408,402,407,395,410,9481,1.78343949044586
394,406,408,407,409,395,410,8652,1.910828025477707
404,398,398,412,407,393,395,8530,2.038216560509554
404,398,398,412,386,393,395,8347,2.1656050955414012
404,398,398,412,386,378,396,8347,2.2929936305732483
383,399,398,420,386,398,397,8347,2.4203821656050954
404,414,405,393,393,386,398,11836,2.547770700636943
381,414,402,418,386,386,397,11836,2.67515923566879
391,402,407,407,377,383,384,2125,2.802547770700637
386,402,402,407,377,380,384,2071,2.9299363057324843
391,405,400,407,409,380,400,2125,3.0573248407643314
386,405,383,414,409,383,400,2777,3.1847133757961785
391,395,400,414,395,397,403,2777,3.3121019108280256
391,395,405,412,395,383,403,2297,3.4394904458598727
391,395,406,397,383,376,403,2297,3.56687898089172
393,398,414,412,391,376,400,1998,3.694267515923567
414,398,414,400,391,383,400,1975,3.821656050955414
414,397,393,400,409,383,400,1975,3.949044585987261
406,397,393,400,409,403,394,2265,4.076433121019108
398,388,393,401,396,386,394,2382,4.203821656050955
398,407,402,402,396,403,405,2457,4.3312101910828025
386,397,402,401,395,403,407,2426,4.45859872611465
384,397,400,407,405,408,413,2457,4.585987261146497
386,397,398,401,395,408,413,2426,4.713375796178344
391,393,398,414,405,376,412,2119,4.840764331210191
393,405,398,414,407,376,404,1805,4.968152866242038
403,387,398,414,407,396,404,1805,5.095541401273886
421,397,402,393,409,408,398,1873,5.222929936305733
421,397,393,393,405,408,398,2038,5.35031847133758
389,397,393,421,409,398,427,2007,5.477707006369427
389,390,393,431,410,389,427,2038,5.605095541401274
389,390,390,421,411,371,388,2088,5.7324840764331215
392,428,390,391,411,371,388,2088,5.859872611464969
392,428,390,386,407,389,387,2097,5.987261146496816
392,392,394,382,407,389,411,2171,6.114649681528663
378,386,394,386,398,391,421,2177,6.24203821656051
378,392,389,397,404,373,421,2194,6.369426751592357
388,392,389,397,391,396,413,2194,6.496815286624204
388,393,402,401,403,379,402,2168,6.624203821656051
384,393,402,401,391,402,402,2129,6.751592356687898
384,393,407,401,403,388,392,2072,6.8789808917197455
374,386,406,393,417,388,392,1989,7.006369426751593
372,386,406,393,417,388,392,2072,7.13375796178344
372,393,398,395,411,407,400,1977,7.261146496815287
382,393,391,395,407,407,407,1988,7.388535031847134
386,388,384,405,398,378,418,1988,7.515923566878981
382,388,384,405,396,378,418,1988,7.643312101910828
386,388,377,428,398,366,395,2149,7.770700636942675
392,388,382,433,405,366,395,2149,7.898089171974522
403,378,382,428,412,366,395,2302,8.02547770700637
403,378,382,420,412,384,405,2302,8.152866242038217
404,388,391,404,391,410,409,1165,8.280254777070065
411,388,387,389,379,410,405,1165,8.40764331210191
411,383,387,389,379,388,402,1652,8.535031847133759
389,383,387,396,400,388,402,1652,8.662420382165605
375,386,393,396,400,398,402,1646,8.789808917197453
384,400,393,416,393,398,402,1646,8.9171974522293
384,400,393,382,383,379,398,1753,9.044585987261147
386,400,400,415,383,379,386,2004,9.171974522292993
386,383,400,382,412,393,398,2499,9.299363057324841
379,383,400,415,412,393,381,2792,9.426751592356688
379,383,394,403,400,388,381,3035,9.554140127388536
382,385,394,403,400,386,380,3227,9.681528662420382
389,386,382,382,398,388,379,3401,9.80891719745223
389,390,382,382,399,386,380,3511,9.936305732484076
389,393,394,375,398,394,411,3511,10.063694267515924
394,400,396,375,396,376,418,3395,10.191082802547772
394,400,394,375,396,369,418,3395,10.318471337579618
396,395,391,387,396,369,393,3436,10.445859872611466
396,385,391,389,399,374,380,3584,10.573248407643312
382,383,392,395,393,377,393,3584,10.70063694267516
374,383,392,395,394,377,402,3583,10.828025477707007
374,383,393,406,394,377,402,3583,10.955414012738855
374,386,393,392,402,372,384,3665,11.0828025477707
374,386,393,382,402,372,375,3697,11.210191082802549
389,402,393,382,394,365,375,3734,11.337579617834395
377,402,393,387,394,365,398,4035,11.464968152866243
377,385,386,387,394,371,398,4350,11.59235668789809
377,381,386,386,405,371,398,5947,11.719745222929937
377,384,390,386,391,368,389,6528,11.847133757961783
386,384,396,399,396,368,400,6528,11.974522292993631
386,398,396,399,396,369,389,660,12.101910828025478
386,398,384,378,403,369,386,622,12.229299363057326
374,393,384,370,403,367,373,622,12.356687898089172
369,390,385,368,403,362,373,558,12.48407643312102
374,390,399,368,405,367,396,542,12.611464968152866
369,386,394,377,384,702,666,516,12.738853503184714
384,386,394,382,384,7141,666,507,12.86624203821656
375,386,394,391,384,7141,418,483,12.993630573248408
375,386,390,391,396,6047,418,473,13.121019108280255
375,386,385,381,4268,456,416,466,13.248407643312103
377,379,385,381,6914,436,398,462,13.37579617834395
377,379,385,381,11589,436,398,458,13.503184713375797
384,379,389,431,11589,433,399,456,13.630573248407645
