Time,Actual_Slip,Predicted_Slip
0,1,1
0.636942675159236,1,1
1.27388535031847,1,1
1.91082802547771,1,1
2.54777070063694,1,1
3.18471337579618,1,1
3.82165605095541,1,1
4.45859872611465,1,1
5.09554140127389,1,1
5.73248407643312,1,1
6.36942675159236,1,1
7.00636942675159,1,1
7.64331210191083,1,1
8.28025477707006,1,1
8.9171974522293,1,1
9.55414012738854,1,1
10.1910828025478,1,1
10.828025477707,1,1
11.4649681528662,1,1
12.1019108280255,1,1
12.7388535031847,1,1
13.375796178344,1,1
14.0127388535032,1,1
14.6496815286624,1,1
15.2866242038217,1,1
15.9235668789809,1,1
16.5605095541401,1,1
17.1974522292994,1,1
17.8343949044586,1,1
18.4713375796178,1,1
19.1082802547771,1,1
19.7452229299363,1,1
20.3821656050955,1,1
21.0191082802548,1,1
21.656050955414,1,1
22.2929936305732,1,1
22.9299363057325,1,1
23.5668789808917,1,1
24.203821656051,1,1
24.8407643312102,1,1
25.4777070063694,1,1
26.1146496815287,1,1
26.7515923566879,1,1
27.3885350318471,1,1
28.0254777070064,1,1
28.6624203821656,1,1
29.2993630573248,1,1
29.9363057324841,1,1
30.5732484076433,1,1
31.2101910828025,1,1
31.8471337579618,1,1
32.484076433121,1,1
33.1210191082803,1,1
33.7579617834395,1,1
34.3949044585987,1,1
35.031847133758,1,1
35.6687898089172,1,1
36.3057324840764,1,1
36.9426751592357,1,1
37.5796178343949,1,1
38.2165605095541,1,1
0,1,1
0.636942675159236,1,1
1.27388535031847,1,1
1.91082802547771,1,1
2.54777070063694,1,1
3.18471337579618,1,1
3.82165605095541,1,1
4.45859872611465,1,1
5.09554140127389,1,1
5.73248407643312,1,1
6.36942675159236,1,1
7.00636942675159,1,1
7.64331210191083,1,1
8.28025477707006,1,1
8.9171974522293,1,1
9.55414012738854,1,1
10.1910828025478,1,1
10.828025477707,1,1
11.4649681528662,1,1
12.1019108280255,1,1
12.7388535031847,1,1
13.375796178344,1,1
14.0127388535032,1,1
14.6496815286624,1,1
15.2866242038217,1,1
15.9235668789809,1,1
16.5605095541401,1,1
17.1974522292994,1,1
17.8343949044586,1,1
18.4713375796178,1,1
19.1082802547771,1,1
19.7452229299363,1,1
20.3821656050955,1,1
21.0191082802548,1,1
21.656050955414,1,1
22.2929936305732,1,1
22.9299363057325,1,1
23.5668789808917,1,1
24.203821656051,1,1
24.8407643312102,1,1
25.4777070063694,1,1
26.1146496815287,1,1
26.7515923566879,1,1
27.3885350318471,1,1
28.0254777070064,1,1
28.6624203821656,1,1
29.2993630573248,1,1
29.9363057324841,1,1
30.5732484076433,1,1
31.2101910828025,1,1
31.8471337579618,1,1
32.484076433121,1,1
33.1210191082803,1,1
33.7579617834395,1,1
34.3949044585987,1,1
35.031847133758,1,1
35.6687898089172,1,1
36.3057324840764,1,1
36.9426751592357,1,1
37.5796178343949,1,1
38.2165605095541,1,1
